customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,cluster,segment_name,business_label,vp_marketing_read,recommended_action
col_unique_000049,609,1,1021500.0,1,1,4,114,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000050,310,1,189600.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000051,224,1,96500.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000052,398,1,106400.0,2,1,1,211,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000053,213,1,152600.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000055,468,1,130700.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000056,580,1,402500.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000057,629,1,150900.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000058,252,1,271200.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000059,709,1,103300.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000060,230,1,223500.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000061,98,1,1656100.0,4,1,4,414,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000062,137,3,620000.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000063,696,1,203800.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000064,456,1,720700.0,2,1,3,213,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000065,624,1,203900.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000066,84,3,538700.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000067,222,1,73800.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000068,207,1,658100.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000069,482,1,159000.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000070,135,1,492500.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000071,235,1,98700.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000072,335,1,179800.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000073,614,1,352400.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000074,679,1,136900.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000075,385,1,252500.0,2,1,2,212,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000076,175,1,283600.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000078,245,1,662200.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000079,327,1,123200.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000080,542,1,130900.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000082,328,1,495100.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000083,503,1,532400.0,2,1,3,213,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000084,305,2,353300.0,3,4,2,342,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000085,629,1,381900.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000086,63,3,1500300.0,4,4,4,444,1,segmento_1,VIP recientes,"Clientes de alto valor, compra reciente y mayor recurrencia relativa. Son la base de retencion premium.","Proteger margen y lealtad: beneficios selectivos, acceso anticipado, cross-sell premium y programas de fidelizacion."
col_unique_000087,103,2,348400.0,4,4,2,442,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000088,276,1,916400.0,3,1,4,314,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000090,409,1,446100.0,2,1,3,213,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000092,49,3,449200.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000094,648,1,173300.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000095,635,1,615400.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000098,56,3,1293400.0,4,4,4,444,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000100,492,1,88900.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000101,622,1,98100.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000102,25,3,484600.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000103,409,1,312900.0,2,1,2,212,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000105,379,2,1842700.0,3,4,4,344,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000107,203,1,445100.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000109,562,1,517600.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000110,183,1,197900.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000111,416,1,723400.0,2,1,3,213,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000112,171,1,574700.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000113,275,1,690100.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000114,422,1,857300.0,2,1,4,214,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000115,253,1,168200.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000118,645,1,164400.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000119,291,1,580000.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000120,143,2,730100.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000122,536,1,126800.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000124,153,1,798700.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000125,342,1,325900.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000126,509,1,128000.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000127,95,3,1028600.0,4,4,4,444,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000129,211,1,234200.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000130,517,1,128500.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000132,373,1,104700.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000133,699,1,866300.0,1,1,4,114,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000134,490,1,628000.0,2,1,3,213,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000135,163,1,142200.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000136,507,1,849900.0,2,1,4,214,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000137,362,1,141100.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000138,334,1,89600.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000139,290,1,151500.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000140,645,1,173700.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000142,279,1,207800.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000144,592,1,824000.0,1,1,4,114,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000145,288,1,1718100.0,3,1,4,314,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000147,176,2,1088400.0,4,4,4,444,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000148,187,1,642100.0,4,1,3,413,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000149,263,1,253300.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000150,610,2,1573600.0,1,4,4,144,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000151,314,1,198300.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000152,272,1,936500.0,3,1,4,314,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000155,675,1,338700.0,1,1,2,112,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000156,37,2,676400.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
